split,cost_ratio_missed_to_review,review_fraction,cost_model,cost_random,cost_review_all,cost_review_none,is_optimum
group_company,2,0.02,2070.0,2410.8,9825.0,2260.0,
group_company,2,0.04,1889.0,2562.6,9825.0,2260.0,
group_company,2,0.06,1744.0,2714.4,9825.0,2260.0,
group_company,2,0.08,1634.0,2865.2000000000003,9825.0,2260.0,
group_company,2,0.1,1662.0,3016.0,9825.0,2260.0,
group_company,2,0.12,1805.0,3167.8,9825.0,2260.0,
group_company,2,0.14,1900.0,3319.6,9825.0,2260.0,
group_company,2,0.16,2002.0,3470.3999999999996,9825.0,2260.0,
group_company,2,0.18,2120.0,3621.2,9825.0,2260.0,
group_company,2,0.2,2255.0,3773.0,9825.0,2260.0,
group_company,2,0.22,2392.0,3924.8,9825.0,2260.0,
group_company,2,0.24,2554.0,4075.6,9825.0,2260.0,
group_company,2,0.26,2692.0,4226.4,9825.0,2260.0,
group_company,2,0.28,2861.0,4378.2,9825.0,2260.0,
group_company,2,0.3,3034.0,4530.0,9825.0,2260.0,
group_company,2,0.32,3216.0,4680.8,9825.0,2260.0,
group_company,2,0.34,3399.0,4832.6,9825.0,2260.0,
group_company,2,0.36,3589.0,4983.4,9825.0,2260.0,
group_company,2,0.38,3782.0,5135.2,9825.0,2260.0,
group_company,2,0.4,3976.0,5286.0,9825.0,2260.0,
group_company,2,0.42,4168.0,5436.8,9825.0,2260.0,
group_company,2,0.44,4359.0,5588.6,9825.0,2260.0,
group_company,2,0.46,4550.0,5740.4,9825.0,2260.0,
group_company,2,0.48,4746.0,5891.2,9825.0,2260.0,
group_company,2,0.5,4940.0,6042.0,9825.0,2260.0,
group_company,2,0.52,5135.0,6193.8,9825.0,2260.0,
group_company,2,0.54,5326.0,6345.6,9825.0,2260.0,
group_company,2,0.56,5522.0,6496.4,9825.0,2260.0,
group_company,2,0.58,5718.0,6647.2,9825.0,2260.0,
group_company,2,0.6,5915.0,6799.0,9825.0,2260.0,
group_company,2,0.62,6112.0,6950.8,9825.0,2260.0,
group_company,2,0.64,6302.0,7101.6,9825.0,2260.0,
group_company,2,0.66,6496.0,7252.4,9825.0,2260.0,
group_company,2,0.68,6693.0,7404.2,9825.0,2260.0,
group_company,2,0.7,6886.0,7556.0,9825.0,2260.0,
group_company,2,0.72,7080.0,7706.8,9825.0,2260.0,
group_company,2,0.74,7272.0,7857.6,9825.0,2260.0,
group_company,2,0.76,7469.0,8009.4,9825.0,2260.0,
group_company,2,0.78,7666.0,8161.2,9825.0,2260.0,
group_company,2,0.8,7862.0,8312.0,9825.0,2260.0,
group_company,2,0.82,8058.0,8462.8,9825.0,2260.0,
group_company,2,0.84,8255.0,8614.6,9825.0,2260.0,
group_company,2,0.86,8452.0,8766.4,9825.0,2260.0,
group_company,2,0.88,8646.0,8917.2,9825.0,2260.0,
group_company,2,0.9,8842.0,9068.0,9825.0,2260.0,
group_company,2,0.92,9039.0,9219.8,9825.0,2260.0,
group_company,2,0.94,9236.0,9371.6,9825.0,2260.0,
group_company,2,0.96,9432.0,9522.4,9825.0,2260.0,
group_company,2,0.98,9628.0,9673.2,9825.0,2260.0,
group_company,2,1.0,9825.0,9825.0,9825.0,2260.0,
group_company,2,0.08,1634.0,2865.2000000000003,9825.0,2260.0,True
group_company,5,0.02,4881.0,5733.0,9825.0,5650.0,
group_company,5,0.04,4133.0,5817.0,9825.0,5650.0,
group_company,5,0.06,3475.0,5901.0,9825.0,5650.0,
group_company,5,0.08,2906.0,5984.000000000001,9825.0,5650.0,
group_company,5,0.1,2682.0,6067.0,9825.0,5650.0,
group_company,5,0.12,2744.0,6151.0,9825.0,5650.0,
group_company,5,0.14,2686.0,6235.0,9825.0,5650.0,
group_company,5,0.16,2647.0,6318.0,9825.0,5650.0,
group_company,5,0.18,2648.0,6401.0,9825.0,5650.0,
group_company,5,0.2,2690.0,6485.0,9825.0,5650.0,
group_company,5,0.22,2737.0,6569.0,9825.0,5650.0,
group_company,5,0.24,2848.0,6652.0,9825.0,5650.0,
group_company,5,0.26,2899.0,6735.0,9825.0,5650.0,
group_company,5,0.28,3026.0,6819.0,9825.0,5650.0,
group_company,5,0.3,3163.0,6903.0,9825.0,5650.0,
group_company,5,0.32,3324.0,6986.0,9825.0,5650.0,
group_company,5,0.34,3486.0,7070.0,9825.0,5650.0,
group_company,5,0.36,3667.0,7153.0,9825.0,5650.0,
group_company,5,0.38,3854.0,7237.0,9825.0,5650.0,
group_company,5,0.4,4045.0,7320.0,9825.0,5650.0,
group_company,5,0.42,4231.0,7403.0,9825.0,5650.0,
group_company,5,0.44,4413.0,7487.0,9825.0,5650.0,
group_company,5,0.46,4595.0,7571.0,9825.0,5650.0,
group_company,5,0.48,4791.0,7654.0,9825.0,5650.0,
group_company,5,0.5,4982.0,7737.0,9825.0,5650.0,
group_company,5,0.52,5174.0,7821.0,9825.0,5650.0,
group_company,5,0.54,5356.0,7905.0,9825.0,5650.0,
group_company,5,0.56,5552.0,7988.0,9825.0,5650.0,
group_company,5,0.58,5748.0,8071.0,9825.0,5650.0,
group_company,5,0.6,5945.0,8155.0,9825.0,5650.0,
group_company,5,0.62,6142.0,8239.0,9825.0,5650.0,
group_company,5,0.64,6323.0,8322.0,9825.0,5650.0,
group_company,5,0.66,6514.0,8405.0,9825.0,5650.0,
group_company,5,0.68,6711.0,8489.0,9825.0,5650.0,
group_company,5,0.7,6898.0,8573.0,9825.0,5650.0,
group_company,5,0.72,7089.0,8656.0,9825.0,5650.0,
group_company,5,0.74,7275.0,8739.0,9825.0,5650.0,
group_company,5,0.76,7472.0,8823.0,9825.0,5650.0,
group_company,5,0.78,7669.0,8907.0,9825.0,5650.0,
group_company,5,0.8,7865.0,8990.0,9825.0,5650.0,
group_company,5,0.82,8061.0,9073.0,9825.0,5650.0,
group_company,5,0.84,8258.0,9157.0,9825.0,5650.0,
group_company,5,0.86,8455.0,9241.0,9825.0,5650.0,
group_company,5,0.88,8646.0,9324.0,9825.0,5650.0,
group_company,5,0.9,8842.0,9407.0,9825.0,5650.0,
group_company,5,0.92,9039.0,9491.0,9825.0,5650.0,
group_company,5,0.94,9236.0,9575.0,9825.0,5650.0,
group_company,5,0.96,9432.0,9658.0,9825.0,5650.0,
group_company,5,0.98,9628.0,9741.0,9825.0,5650.0,
group_company,5,1.0,9825.0,9825.0,9825.0,5650.0,
group_company,5,0.16,2647.0,6318.0,9825.0,5650.0,True
group_company,10,0.02,9566.0,11270.0,9825.0,11300.0,
group_company,10,0.04,7873.0,11241.0,9825.0,11300.0,
group_company,10,0.06,6360.0,11212.0,9825.0,11300.0,
group_company,10,0.08,5026.0,11182.000000000002,9825.0,11300.0,
group_company,10,0.1,4382.0,11152.0,9825.0,11300.0,
group_company,10,0.12,4309.0,11123.0,9825.0,11300.0,
group_company,10,0.14,3996.0,11094.0,9825.0,11300.0,
group_company,10,0.16,3722.0,11064.0,9825.0,11300.0,
group_company,10,0.18,3528.0,11034.0,9825.0,11300.0,
group_company,10,0.2,3415.0,11005.0,9825.0,11300.0,
group_company,10,0.22,3312.0,10976.0,9825.0,11300.0,
group_company,10,0.24,3338.0,10946.0,9825.0,11300.0,
group_company,10,0.26,3244.0,10916.0,9825.0,11300.0,
group_company,10,0.28,3301.0,10887.0,9825.0,11300.0,
group_company,10,0.3,3378.0,10858.0,9825.0,11300.0,
group_company,10,0.32,3504.0,10828.0,9825.0,11300.0,
group_company,10,0.34,3631.0,10799.0,9825.0,11300.0,
group_company,10,0.36,3797.0,10769.0,9825.0,11300.0,
group_company,10,0.38,3974.0,10740.0,9825.0,11300.0,
group_company,10,0.4,4160.0,10710.0,9825.0,11300.0,
group_company,10,0.42,4336.0,10680.0,9825.0,11300.0,
group_company,10,0.44,4503.0,10651.0,9825.0,11300.0,
group_company,10,0.46,4670.0,10622.0,9825.0,11300.0,
group_company,10,0.48,4866.0,10592.0,9825.0,11300.0,
group_company,10,0.5,5052.0,10562.0,9825.0,11300.0,
group_company,10,0.52,5239.0,10533.0,9825.0,11300.0,
group_company,10,0.54,5406.0,10504.0,9825.0,11300.0,
group_company,10,0.56,5602.0,10474.0,9825.0,11300.0,
group_company,10,0.58,5798.0,10444.0,9825.0,11300.0,
group_company,10,0.6,5995.0,10415.0,9825.0,11300.0,
group_company,10,0.62,6192.0,10386.0,9825.0,11300.0,
group_company,10,0.64,6358.0,10356.0,9825.0,11300.0,
group_company,10,0.66,6544.0,10326.0,9825.0,11300.0,
group_company,10,0.68,6741.0,10297.0,9825.0,11300.0,
group_company,10,0.7,6918.0,10268.0,9825.0,11300.0,
group_company,10,0.72,7104.0,10238.0,9825.0,11300.0,
group_company,10,0.74,7280.0,10208.0,9825.0,11300.0,
group_company,10,0.76,7477.0,10179.0,9825.0,11300.0,
group_company,10,0.78,7674.0,10150.0,9825.0,11300.0,
group_company,10,0.8,7870.0,10120.0,9825.0,11300.0,
group_company,10,0.82,8066.0,10090.0,9825.0,11300.0,
group_company,10,0.84,8263.0,10061.0,9825.0,11300.0,
group_company,10,0.86,8460.0,10032.0,9825.0,11300.0,
group_company,10,0.88,8646.0,10002.0,9825.0,11300.0,
group_company,10,0.9,8842.0,9972.0,9825.0,11300.0,
group_company,10,0.92,9039.0,9943.0,9825.0,11300.0,
group_company,10,0.94,9236.0,9914.0,9825.0,11300.0,
group_company,10,0.96,9432.0,9884.0,9825.0,11300.0,
group_company,10,0.98,9628.0,9854.0,9825.0,11300.0,
group_company,10,1.0,9825.0,9825.0,9825.0,11300.0,
group_company,10,0.26,3244.0,10916.0,9825.0,11300.0,True
group_company,20,0.02,18936.0,22344.0,9825.0,22600.0,
group_company,20,0.04,15353.0,22089.0,9825.0,22600.0,
group_company,20,0.06,12130.0,21834.0,9825.0,22600.0,
group_company,20,0.08,9266.0,21578.000000000004,9825.0,22600.0,
group_company,20,0.1,7782.0,21322.0,9825.0,22600.0,
group_company,20,0.12,7439.0,21067.0,9825.0,22600.0,
group_company,20,0.14,6616.0,20812.0,9825.0,22600.0,
group_company,20,0.16,5872.0,20556.0,9825.0,22600.0,
group_company,20,0.18,5288.0,20300.0,9825.0,22600.0,
group_company,20,0.2,4865.0,20045.0,9825.0,22600.0,
group_company,20,0.22,4462.0,19790.0,9825.0,22600.0,
group_company,20,0.24,4318.0,19534.0,9825.0,22600.0,
group_company,20,0.26,3934.0,19278.0,9825.0,22600.0,
group_company,20,0.28,3851.0,19023.0,9825.0,22600.0,
group_company,20,0.3,3808.0,18768.0,9825.0,22600.0,
group_company,20,0.32,3864.0,18512.0,9825.0,22600.0,
group_company,20,0.34,3921.0,18257.0,9825.0,22600.0,
group_company,20,0.36,4057.0,18001.0,9825.0,22600.0,
group_company,20,0.38,4214.0,17746.0,9825.0,22600.0,
group_company,20,0.4,4390.0,17490.0,9825.0,22600.0,
group_company,20,0.42,4546.0,17234.0,9825.0,22600.0,
group_company,20,0.44,4683.0,16979.0,9825.0,22600.0,
group_company,20,0.46,4820.0,16724.0,9825.0,22600.0,
group_company,20,0.48,5016.0,16468.0,9825.0,22600.0,
group_company,20,0.5,5192.0,16212.0,9825.0,22600.0,
group_company,20,0.52,5369.0,15957.0,9825.0,22600.0,
group_company,20,0.54,5506.0,15702.0,9825.0,22600.0,
group_company,20,0.56,5702.0,15445.999999999998,9825.0,22600.0,
group_company,20,0.58,5898.0,15190.0,9825.0,22600.0,
group_company,20,0.6,6095.0,14935.0,9825.0,22600.0,
group_company,20,0.62,6292.0,14680.0,9825.0,22600.0,
group_company,20,0.64,6428.0,14424.0,9825.0,22600.0,
group_company,20,0.66,6604.0,14168.0,9825.0,22600.0,
group_company,20,0.68,6801.0,13913.0,9825.0,22600.0,
group_company,20,0.7,6958.0,13658.0,9825.0,22600.0,
group_company,20,0.72,7134.0,13402.0,9825.0,22600.0,
group_company,20,0.74,7290.0,13146.0,9825.0,22600.0,
group_company,20,0.76,7487.0,12891.0,9825.0,22600.0,
group_company,20,0.78,7684.0,12636.0,9825.0,22600.0,
group_company,20,0.8,7880.0,12380.0,9825.0,22600.0,
group_company,20,0.82,8076.0,12124.000000000002,9825.0,22600.0,
group_company,20,0.84,8273.0,11869.0,9825.0,22600.0,
group_company,20,0.86,8470.0,11614.0,9825.0,22600.0,
group_company,20,0.88,8646.0,11358.0,9825.0,22600.0,
group_company,20,0.9,8842.0,11102.0,9825.0,22600.0,
group_company,20,0.92,9039.0,10847.0,9825.0,22600.0,
group_company,20,0.94,9236.0,10592.000000000002,9825.0,22600.0,
group_company,20,0.96,9432.0,10336.0,9825.0,22600.0,
group_company,20,0.98,9628.0,10080.0,9825.0,22600.0,
group_company,20,1.0,9825.0,9825.0,9825.0,22600.0,
group_company,20,0.3,3808.0,18768.0,9825.0,22600.0,True
group_company,50,0.02,47046.0,55566.00000000001,9825.0,56500.0,
group_company,50,0.04,37793.0,54633.0,9825.0,56500.0,
group_company,50,0.06,29440.0,53700.0,9825.0,56500.0,
group_company,50,0.08,21986.0,52766.00000000001,9825.0,56500.0,
group_company,50,0.1,17982.0,51832.0,9825.0,56500.0,
group_company,50,0.12,16829.0,50899.0,9825.0,56500.0,
group_company,50,0.14,14476.0,49966.0,9825.0,56500.0,
group_company,50,0.16,12322.0,49032.0,9825.0,56500.0,
group_company,50,0.18,10568.0,48098.0,9825.0,56500.0,
group_company,50,0.2,9215.0,47165.0,9825.0,56500.0,
group_company,50,0.22,7912.0,46232.0,9825.0,56500.0,
group_company,50,0.24,7258.0,45298.0,9825.0,56500.0,
group_company,50,0.26,6004.0,44364.0,9825.0,56500.0,
group_company,50,0.28,5501.0,43431.0,9825.0,56500.0,
group_company,50,0.3,5098.0,42498.0,9825.0,56500.0,
group_company,50,0.32,4944.0,41564.0,9825.0,56500.0,
group_company,50,0.34,4791.0,40631.0,9825.0,56500.0,
group_company,50,0.36,4837.0,39697.0,9825.0,56500.0,
group_company,50,0.38,4934.0,38764.0,9825.0,56500.0,
group_company,50,0.4,5080.0,37830.0,9825.0,56500.0,
